Heroes,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Night Stalker,-0.29192346,0.17744139,0.49856946,0.63031733,-0.12063933,-0.30420107,0.5257522,1.0767707,0.08879264,-0.05863185,-0.073337056,-0.20850357,-0.8563559,-0.6919871,0.16396956,0.33189163,-0.6667764,-0.12186333,0.82019824,-0.2964199,0.4135037,-1.4461305,0.11306317,1.2289224,-0.014330465,0.57794696,0.5134096,-0.24674942,-0.34743303,0.15788063
Broodmother,-0.83316135,0.22529997,0.65066713,-0.49903563,-0.59649754,0.57703364,0.36230034,0.60967475,-0.21366948,0.11072547,0.68226707,0.1880705,-0.5723595,-0.9904312,0.13806324,-0.3038623,-0.76485014,-0.012629814,-0.08238052,0.8487313,-0.39789402,-0.8168288,-0.18004283,0.38101634,0.21640342,-0.692931,0.20577551,0.15931746,-0.20933554,0.1466008
Bounty Hunter,0.023309369,-0.24023846,0.46206424,0.47526902,-0.125763,-0.8226145,-0.39478827,-0.12117924,-0.107739575,-0.9193286,0.54985654,0.06267406,0.33915237,-0.45506543,-0.4717382,-0.16983615,0.099390306,-0.53026706,-0.29204646,0.5466982,0.20840383,0.20437664,0.42858234,0.005872317,0.45636436,0.32978606,-0.009096312,0.37404218,0.07206702,-0.18241814
Weaver,0.35454553,-0.40128946,0.07095087,-0.14640132,0.45420113,-0.35554826,-0.13274293,-0.07049687,0.52605045,-0.13534133,0.09461274,0.3488848,0.5986426,-0.579218,-0.714748,0.48307058,0.04855279,-0.12496146,-0.32255796,0.6822225,0.42965478,0.04959684,0.006720047,0.48637217,0.3496585,-0.12590317,0.48414737,-0.047343615,-0.50179714,-0.58975923
Jakiro,0.042122006,0.45443192,0.7296198,0.49434838,0.169339,-0.19292954,0.029226586,-0.079728425,-0.07225615,0.83406955,0.29889536,0.3429601,1.2155774,0.3354721,0.033423472,0.11938115,1.0787673,-0.051385883,-0.39641696,0.09137911,0.17960738,-0.40996203,-0.21382497,0.1673424,0.1625351,0.6228512,-0.5790925,0.27663866,0.1352462,0.5959526
Batrider,-0.8055572,0.2494019,0.874163,0.7445027,0.07124181,-0.7701399,-0.21466854,0.63446414,-0.4474281,0.2902436,0.098264605,-0.08323574,-0.21930164,-0.22016141,-0.057621226,-0.101859026,0.2659501,0.1676651,-1.0691714,-0.7566825,0.60978353,-0.5566964,-0.09115577,-0.052090585,-0.17946684,0.6212536,0.051849768,0.059849888,0.117342226,0.24859047
Chen,0.011517787,0.17509316,0.7073467,0.11805958,-0.2169818,-0.5807728,-0.14580733,-0.16491483,0.08481985,-0.08694284,0.4877707,-0.46629784,1.2159832,-0.2810335,-0.6172247,-0.14507586,1.1597012,-0.25647908,-0.3878441,-0.16649036,0.22375439,0.4152255,-0.08365483,-0.07107707,0.54937536,0.50061995,-1.0283585,0.7365958,0.57436925,0.24645288
Spectre,0.75151104,-0.7241401,0.0868707,-0.04859841,0.5424812,1.0802481,-0.27333242,-0.9822047,0.12875052,0.6670232,0.1398378,0.4335589,0.24040876,0.047507327,-0.6745227,-0.5693957,0.34718043,1.1614811,0.22159323,0.34522536,-0.4785359,0.10029524,0.000524687,0.37854066,0.55539197,-0.5366696,0.879073,-0.7899411,0.6148188,-1.1783
Ancient Apparition,0.12819129,-0.12313468,0.7325622,-0.9486427,-0.77234936,-0.09010327,0.74455005,0.22839998,-0.068508886,1.0599025,0.017708572,0.99595773,0.78259254,-0.7925458,-0.35358,-0.66306585,-0.5169881,0.09401414,-0.7825405,0.29135513,-1.108954,-0.30327475,-1.0356114,-0.3098651,0.35841298,0.27143416,-0.28947932,0.9603818,-0.24139227,1.086021
Doom,0.36469802,0.41731447,0.66898715,0.5805996,0.5119609,0.79661024,0.78195965,0.6354382,-0.46607038,-0.10129995,0.52460134,-0.3821927,-1.0669162,-0.58418274,0.47236818,-0.4461436,0.4562364,0.08557444,0.018226497,-0.51637906,-0.3642605,-1.0083828,-0.094196945,0.61306006,-0.10621795,0.42906398,0.14889798,-0.6742051,0.13922705,0.41083166
Ursa,0.30148488,-0.6762791,-0.33083102,-0.35985982,0.37597865,0.3761049,-0.3997883,-0.4577769,0.2189334,-0.3054134,0.17979036,0.525272,0.30230778,0.10442572,-1.0371543,-0.012197253,-0.21103998,-0.015972922,-0.24502999,0.92177767,-0.1242305,0.6750523,0.19797681,0.72225994,0.94904554,-0.08172005,0.9925412,-0.21650608,0.201036,-0.93808436
