Heroes,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Lina,-0.4160174,-0.21104299,-0.02444906,-0.003947657,0.07529024,-1.1093608999999998,0.19068865,0.9860268,-0.24866377,-0.6461186,-0.14736904,0.09421959,0.22149675,0.053422465999999995,0.033522632000000004,0.06361546,0.26994905,-0.48605600000000004,-0.4661035,0.15107183,-0.3523182,0.06678559,0.4673442,0.5837903,0.20870642
Lion,0.09325845,-0.16103934,-0.64287996,-0.2919553,-0.4311322,-0.3443036,-0.10738784,1.3967962,-0.5133662999999999,-0.49957877,0.045061342000000004,0.16681221,0.4242039000000001,0.8991379999999999,0.6613581999999999,0.030848235,0.57617694,0.78140676,-0.08922111,0.07326204,-0.24659418,-0.6680695,0.11223155,0.86092424,0.07784455
Shadow Shaman,-0.045579586,-0.19607724,0.07157272,-0.57272553,-0.51278496,-0.37862979999999996,0.66595757,0.9012998999999999,-0.4278338,0.010456856,0.016440121000000002,0.49808323,0.5794621,0.49431375,0.44109598,0.040049378,0.5851384,0.43137288,0.1957483,0.22279254,-0.58147216,-0.6665052,0.19802472,0.44745076,0.5999667
Slardar,0.3380111,1.3130826,0.057667552999999996,0.5118194,-0.64257115,-0.46150786,0.67209345,0.24382722,0.23694852,-0.45650953,0.9043752,0.93974966,-0.39615859999999997,-0.5274357,-0.06246055,0.7554625,0.32785073,0.06463091,-0.52653974,-0.9739275,0.2553178,1.0205587999999999,0.23614319,-0.28227463,0.37093458
Tidehunter,0.6971595,0.7533291999999999,-0.24299495,0.6433082,-0.81631863,-0.48757684,0.41686124,-0.41433024,-0.039447438,-0.06340122,0.8957313,-0.000412178,0.20280136,-0.3866177,0.3068592,1.0267247,0.8431436,0.2450841,-0.32584268,-0.53017557,0.46826664,1.0877743999999998,0.20533915,-0.3013567,0.19669658
Witch Doctor,0.4694109,-0.18039449999999999,0.81685096,-0.22084779,-0.3275112,-0.21598165,-0.31858504,0.86928123,-0.85462755,0.17187660000000002,0.24069968,0.073099345,0.82044834,0.7249412,0.6410394,0.5887305,-0.43838826,0.20624988,-0.16245864,0.015959857,-0.7327,-0.31754544,0.019594716,-0.42421156,-0.3900012
Lich,0.5793684,0.10622262,0.99323606,-0.28704053,-0.03596392,-0.41819129999999993,-0.12933037,1.0629228000000002,-0.97551966,0.24674623,0.21634285,0.13531654,0.47020116,0.6237155,0.5858855,0.6876466,-0.65545404,-0.14266084,-0.22965188,-0.17131177,-0.8020893,-0.331629,0.057832315999999995,-0.5168395,-0.39761108
Riki,0.20919853,-0.5798015000000001,0.46455392,0.064420655,0.44303605,0.47291753,0.1490904,-0.0834239,0.14121158,-0.36656940000000005,-0.63511616,-0.33358740000000003,0.22712664,0.006048092,-0.7077276,0.5893241,0.23229752,0.29500654,0.2540866,-0.07189516,0.12703143,0.36422712,0.16289847,0.56508756,0.36757907
Enigma,0.8029062,0.25700839999999997,-0.07274768,0.05309894,-0.4322693,-0.46045512,0.42916402,-0.09862754,-0.50731003,0.16977763,0.15380171,0.06902032,0.8186069,0.10024115,0.47452703,0.7651845,0.41304982,-0.35729042,-0.12975504,-0.008872358,-0.19885142,0.36800522,-0.082550526,0.22767778,-0.067055024
Tinker,-0.13219973,-0.060967392999999995,0.0017140389999999999,0.060129374000000006,0.011526083999999999,-0.60749483,0.31262988,0.114825316,-0.35903856,-0.201428,-0.2881756,0.016245816,0.4085739,0.013287011000000001,-0.23257062,0.4267612,0.13265893,-0.24643075,-0.38812572,0.014113727,-0.17872635,0.5079438000000001,0.26340073,0.4135775,0.30988193
